名词,英文,页码
眉弓,superciliary arch,9
眶上切迹,supra-orbital notch,9
眶下孔,infra-orbital foramen,9
颏孔,mental foramen,10
翼点,pterion,11
颧弓,zygomatic arch,11
乳突,mastoid process,11
枕外隆凸,external occiptial protuberance,11
颅顶肌,epicranius,
眼轮匝肌,orbicularis oculi,
笑肌,musculus risorius,
颧肌,zygomaticus,
颈阔肌,platysma,
颊肌,buccinator,
口轮匝肌,orbicularis oris,
面动脉,facial artery,12
内眦动脉,angular artery,
颏下动脉,submental artery,
下唇动脉,inferior labial artery,
上唇动脉,superior labial artery,
鼻外侧动脉,lateral nesal artery,
面静脉,facial vein,13
内眦静脉,angular vein,
危险三角,danger triangle,13
下颌下淋巴结,submandibular lymph node,
颏下淋巴结,submental lymph node,
三叉神经,trigeminal nerve,13
眼神经,ophthalmic nerve,
上颌神经,maxillary nerve,
下颌神经,mandibular nerve,
眶上神经,supraorbital nerve,13
眶下神经,infraorbital nerve,13
颏神经,mental nerve,15
面神经,facial nerve,15
颞支(面神经),temporal branches,15
颧支(面神经),zygomatic branches,15
颊支(面神经),buccal branches,15
下颌缘支(面神经),marginal mandibular branch,16
颈支(面神经),cervical branch,16
腮腺鞘,parotid gland sheath,16
腮腺,parotid gland,17
腮腺管,parotid duct,17
下颌后静脉,retromandibular vein,17
颈外动脉,external carotid artery,18
咬肌,masseter muscle,19
颞下颌关节,tempormandibular joint,19
翼内肌,medial pterygoid muscle,19
翼外肌,lateral pterygoid muscle,19
翼静脉丛,pterygoid plexus,19
上颌动脉,maxillary artery,19
下牙槽动脉,inferior alveolar artery,19
脑膜中动脉,middle meningeal artery,20
上牙槽后动脉,posterior superior alveolar artery,20
眶下动脉,inferior orbital artery,20
颊神经,buccal nerve,20
耳颞神经,auriculotemporal nerve,20
舌神经,lingual nerve,20
下牙槽神经,inferior alveolar nerve,21
咀嚼肌神经,masseter nerve,21
咬肌间隙,masseter space,22
翼下颌间隙,pterygomandibular space,22
舌下间隙,sublingual space,22
